market_id,question,category,creation_date,resolution_date,search_query
253591,Will Donald Trump win the 2024 US Presidential Election?,politics,2024-01-04T17:33:51,2024-11-06T15:17:41,Donald Trump Presidential Election
253597,Will Kamala Harris win the 2024 US Presidential Election?,politics,2024-01-04T17:40:17,2024-11-06T18:03:54,Kamala Harris Presidential Election
253642,Will any other Republican Politician win the 2024 US Presidential Election?,politics,2024-01-06T19:52:35,2024-11-06T19:45:36,Republican Politician Presidential Election
601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,politics,2025-09-17T16:22:35,2026-01-28T22:53:04,Fed decreases interest rates
601700,Fed increases interest rates by 25+ bps after January 2026 meeting?,politics,2025-09-17T16:22:39,2026-01-28T23:04:04,Fed increases interest rates
601699,No change in Fed interest rates after January 2026 meeting?,politics,2025-09-17T16:22:38,2026-01-28T22:52:08,change Fed interest rates
253727,Kamala Harris wins the popular vote?,politics,2024-01-09T18:29:49,2024-11-12T10:03:19,Kamala Harris popular vote
253706,Will Donald Trump win the popular vote in the 2024 Presidential Election?,politics,2024-01-09T18:05:18,2024-11-11T22:30:39,Donald Trump popular vote
253731,Will Hillary Clinton win the popular vote in the 2024 Presidential Election?,politics,2024-01-09T18:32:21,2024-11-12T07:59:27,Hillary Clinton popular vote
572473,Will Trump nominate Judy Shelton as the next Fed chair?,politics,2025-08-05T17:13:21,2026-03-04T19:25:55,Trump nominate Judy Shelton
572469,Will Trump nominate Kevin Warsh as the next Fed chair?,politics,2025-08-05T17:13:19,2026-03-04T19:25:43,Trump nominate Kevin Warsh
572481,Will Trump nominate Scott Bessent as the next Fed chair?,politics,2025-08-05T17:13:25,2026-03-04T20:13:15,Trump nominate Scott Bessent
1198423,"US strikes Iran by February 28, 2026?",politics,2026-01-16T14:49:30,2026-02-28T09:31:17,strikes Iran February
1092199,"US strikes Iran by January 31, 2026?",politics,2026-01-03T01:33:05,2026-02-01T07:29:42,strikes Iran January
1386664,"US strikes Iran by February 27, 2026?",politics,2026-02-16T19:59:23,2026-02-28T07:11:23,strikes Iran February
511754,Will Donald Trump be inaugurated?,politics,2024-11-01T20:59:58,2025-01-20T22:51:36,Donald Trump inaugurated
511753,Will Kamala Harris be inaugurated?,politics,2024-11-01T20:58:51,2025-01-21T00:20:56,Kamala Harris inaugurated
511755,Will someone else be inaugurated?,politics,2024-11-01T21:18:14,2025-01-21T00:35:20,someone else inaugurated
2270330,"US x Iran permanent peace deal by June 15, 2026?",politics,2026-05-15T18:55:13,2026-06-18T00:32:19,Iran permanent peace deal
1919425,"US x Iran permanent peace deal by May 31, 2026?",politics,2026-04-08T16:01:12,2026-06-01T12:17:00,Iran permanent peace deal
1962237,"US x Iran permanent peace deal by June 30, 2026?",politics,2026-04-12T20:47:43,2026-06-18T00:33:07,Iran permanent peace deal
538932,Will Zohran Mamdani win the 2025 NYC mayoral election?,politics,2025-04-22T15:32:27,2025-11-05T05:44:47,Zohran Mamdani NYC mayoral
538930,Will Curtis Sliwa win the 2025 NYC mayoral election?,politics,2025-04-22T15:32:26,2025-11-05T06:13:17,Curtis Sliwa NYC mayoral
538931,Will Jim Walden win the 2025 NYC mayoral election?,politics,2025-04-22T15:32:27,2025-11-05T06:14:21,Jim Walden NYC mayoral
570360,Fed decreases interest rates by 50+ bps after December 2025 meeting?,politics,2025-07-31T19:28:08,2025-12-10T22:17:52,Fed decreases interest rates
570363,Fed increases interest rates by 25+ bps after December 2025 meeting?,politics,2025-07-31T19:28:09,2025-12-10T22:18:48,Fed increases interest rates
570361,Fed decreases interest rates by 25 bps after December 2025 meeting?,politics,2025-07-31T19:28:08,2025-12-10T22:16:48,Fed decreases interest rates
253697,Will Joe Biden win the 2024 Democratic Presidential Nomination?,politics,2024-01-08T22:29:46,2024-08-06T12:11:54,Joe Biden Democratic Presidential
253701,Will Kamala Harris win the 2024 Democratic Presidential Nomination?,politics,2024-01-08T22:29:46,2024-08-06T07:29:04,Kamala Harris Democratic Presidential
253703,Will Michelle Obama win the 2024 Democratic Presidential Nomination?,politics,2024-01-08T22:29:46,2024-08-06T07:19:08,Michelle Obama Democratic Presidential
534189,Will Lee Jae-myung be elected the next president of South Korea?,politics,2025-04-04T18:45:41,2025-06-03T21:33:32,Lee Jae-myung elected next
534197,Will Kim Moon-soo be elected the next president of South Korea?,politics,2025-04-04T18:45:45,2025-06-03T21:49:12,Kim Moon-soo elected next
534220,Will Lee Jun-seok be elected the next president of South Korea?,politics,2025-04-04T18:49:58,2025-06-03T21:54:36,Lee Jun-seok elected next
